2019-11-08 14:45:00,921 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@464bee09: startup date [Fri Nov 08 14:45:00 CET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-11-08 14:45:01,843 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\apache-activemq-5.15.10\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-11-08 14:45:02,897 | INFO  | PListStore:[D:\apache-activemq-5.15.10\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-11-08 14:45:03,037 | INFO  | Apache ActiveMQ 5.15.10 (localhost, ID:LAPTOP-UVTU40BJ-50373-1573220702909-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-11-08 14:45:03,108 | INFO  | Listening for connections at: tcp://LAPTOP-UVTU40BJ:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-08 14:45:03,110 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 14:45:03,116 | INFO  | Listening for connections at: amqp://LAPTOP-UVTU40BJ:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-08 14:45:03,118 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 14:45:03,125 | INFO  | Listening for connections at: stomp://LAPTOP-UVTU40BJ:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-08 14:45:03,128 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 14:45:03,133 | INFO  | Listening for connections at: mqtt://LAPTOP-UVTU40BJ:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-08 14:45:03,137 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 14:45:03,151 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2019-11-08 14:45:03,216 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2019-11-08 14:45:03,299 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@e383572{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2019-11-08 14:45:03,353 | INFO  | Listening for connections at ws://LAPTOP-UVTU40BJ:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-11-08 14:45:03,354 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 14:45:03,357 | INFO  | Apache ActiveMQ 5.15.10 (localhost, ID:LAPTOP-UVTU40BJ-50373-1573220702909-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-11-08 14:45:03,360 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-11-08 14:45:04,361 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-11-08 14:45:04,368 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-11-15 15:48:45,345 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6eebc39e: startup date [Fri Nov 15 15:48:45 CET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-11-15 15:48:47,098 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\apache-activemq-5.15.10\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-11-15 15:48:47,386 | INFO  | Page File: D:\apache-activemq-5.15.10\bin\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-11-15 15:48:47,393 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-11-15 15:48:47,409 | INFO  | Page File: D:\apache-activemq-5.15.10\bin\..\data\kahadb\db.data. Recovered pageFile free list of size: 0 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2019-11-15 15:48:47,519 | INFO  | PListStore:[D:\apache-activemq-5.15.10\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-11-15 15:48:47,667 | INFO  | Apache ActiveMQ 5.15.10 (localhost, ID:LAPTOP-UVTU40BJ-65524-1573829327531-0:1) is starting | org.apache.activemq.broker.BrokerService | main
